"Day","Month","Year","Hour","Site","Parameter","Date__LT_","AQI","Raw_Conc_","Conc__Unit","Duration","QC_Name","AQI_Category","NowCast_Conc_","Date","tempC","windspeedKmph","weatherDesc","humidity","visibility","weatherDescNew","windspeed_Cat","humidity_cat"
1,12,2019,1,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:01:00:00",79,21,"UG/M3","1 Hr","Valid","Moderate",25.2,"01-12-2019",25,5,"Clear",85,10,"Clear","Low","Humid"
1,12,2019,10,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:10:00:00",72,23,"UG/M3","1 Hr","Valid","Moderate",22.1,"01-12-2019",30,3,"Partly cloudy",65,10,"Partly cloudy","Low","Humid"
1,12,2019,11,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:11:00:00",85,35,"UG/M3","1 Hr","Valid","Moderate",28.5,"01-12-2019",31,3,"Partly cloudy",62,10,"Partly cloudy","Low","Humid"
1,12,2019,12,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:12:00:00",114,53,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",40.7,"01-12-2019",32,4,"Partly cloudy",59,10,"Partly cloudy","Low","Normal"
1,12,2019,13,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:13:00:00",138,60,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",50.4,"01-12-2019",31,4,"Partly cloudy",61,10,"Partly cloudy","Low","Humid"
1,12,2019,14,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:14:00:00",136,49,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",49.7,"01-12-2019",30,5,"Patchy rain possible",63,9,"Patchy rain possible","Low","Humid"
1,12,2019,15,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:15:00:00",117,34,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",41.8,"01-12-2019",29,5,"Patchy rain possible",65,9,"Patchy rain possible","Low","Humid"
1,12,2019,16,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:16:00:00",132,54,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",47.9,"01-12-2019",28,7,"Patchy rain possible",68,9,"Patchy rain possible","Medium","Humid"
1,12,2019,17,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:17:00:00",141,56,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",51.9,"01-12-2019",28,8,"Sunny",71,10,"Sunny","Medium","Humid"
1,12,2019,18,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:18:00:00",107,24,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",37.9,"01-12-2019",27,10,"Clear",73,10,"Clear","High","Humid"
1,12,2019,19,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:19:00:00",89,23,"UG/M3","1 Hr","Valid","Moderate",30.4,"01-12-2019",26,9,"Clear",76,10,"Clear","Medium","Humid"
1,12,2019,2,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:02:00:00",76,22,"UG/M3","1 Hr","Valid","Moderate",23.8,"01-12-2019",24,4,"Partly cloudy",85,10,"Partly cloudy","Low","Humid"
1,12,2019,20,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:20:00:00",83,24,"UG/M3","1 Hr","Valid","Moderate",27.2,"01-12-2019",26,8,"Clear",79,10,"Clear","Medium","Humid"
1,12,2019,21,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:21:00:00",81,26,"UG/M3","1 Hr","Valid","Moderate",26.6,"01-12-2019",26,7,"Clear",83,10,"Clear","Medium","Humid"
1,12,2019,22,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:22:00:00",74,19,"UG/M3","1 Hr","Valid","Moderate",22.8,"01-12-2019",26,7,"Clear",83,10,"Clear","Medium","Humid"
1,12,2019,23,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:23:00:00",74,23,"UG/M3","1 Hr","Valid","Moderate",22.9,"01-12-2019",25,7,"Clear",84,10,"Clear","Medium","Humid"
1,12,2019,3,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:03:00:00",77,25,"UG/M3","1 Hr","Valid","Moderate",24.3,"01-12-2019",24,4,"Partly cloudy",84,10,"Partly cloudy","Low","Humid"
1,12,2019,4,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:04:00:00",63,12,"UG/M3","1 Hr","Valid","Moderate",18,"01-12-2019",24,3,"Partly cloudy",84,10,"Partly cloudy","Low","Humid"
1,12,2019,5,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:05:00:00",63,18,"UG/M3","1 Hr","Valid","Moderate",18,"01-12-2019",24,3,"Clear",84,10,"Clear","Low","Humid"
1,12,2019,6,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:06:00:00",71,25,"UG/M3","1 Hr","Valid","Moderate",21.5,"01-12-2019",24,3,"Sunny",84,10,"Sunny","Low","Humid"
1,12,2019,7,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:07:00:00",72,23,"UG/M3","1 Hr","Valid","Moderate",22.2,"01-12-2019",26,3,"Sunny",78,10,"Sunny","Low","Humid"
1,12,2019,8,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:08:00:00",75,25,"UG/M3","1 Hr","Valid","Moderate",23.6,"01-12-2019",28,3,"Partly cloudy",73,10,"Partly cloudy","Low","Humid"
1,12,2019,9,"Ho Chi Minh City","PM2.5 - Principal","01DEC19:09:00:00",70,19,"UG/M3","1 Hr","Valid","Moderate",21.3,"01-12-2019",29,3,"Partly cloudy",68,10,"Partly cloudy","Low","Humid"
1,12,2020,1,"Ho Chi Minh City","PM2.5 - Principal","01DEC20:01:00:00",93,39,"UG/M3","1 Hr","Valid","Moderate",31.9,"01-12-2020",25,6,"Light rain shower",89,10,"Light rain shower","Low","Humid"
